tiempo_s,ph,temp_ph_C,od_mgL,temp_od_C,temp_prom_C,evento
2050.8,5.690000057,20.39999962,8.149819374,20.18000031,20.28999996,
2052.8,5.690000057,20.39999962,8.151116371,20.18000031,20.28999996,
2054.8,5.690000057,20.39999962,8.152691841,20.18000031,20.28999996,
2056.8,5.690000057,20.39999962,8.154423714,20.18000031,20.28999996,
2058.8,5.690000057,20.39999962,8.155807495,20.18000031,20.28999996,
2060.8,5.690000057,20.39999962,8.158024788,20.18000031,20.28999996,
2062.8,5.690000057,20.39999962,8.158764839,20.18000031,20.28999996,
2064.8,5.690000057,20.39999962,8.158816338,20.19000053,20.29500008,
2066.8,5.690000057,20.39999962,8.15900135,20.19000053,20.29500008,
2068.8,5.690000057,20.39999962,8.160652161,20.19000053,20.29500008,
2070.8,5.690000057,20.39999962,8.16119957,20.19000053,20.29500008,
2072.8,5.690000057,20.39999962,8.161165237,20.19000053,20.29500008,
2074.8,5.690000057,20.39999962,8.160848618,20.19000053,20.29500008,
2076.8,5.690000057,20.39999962,8.160967827,20.19000053,20.29500008,
2078.8,5.690000057,20.39999962,8.16104126,20.19000053,20.29500008,
2080.8,5.690000057,20.39999962,8.161102295,20.19000053,20.29500008,
2082.8,5.690000057,20.39999962,8.161545753,20.19000053,20.29500008,
2084.8,5.690000057,20.39999962,8.162465096,20.19000053,20.29500008,
2086.8,5.690000057,20.39999962,8.164894104,20.19000053,20.29500008,
2088.8,5.690000057,20.39999962,8.165759087,20.19000053,20.29500008,
2090.8,5.690000057,20.39999962,8.166039467,20.19000053,20.29500008,
2092.8,5.690000057,20.39999962,8.165231705,20.20000076,20.30000019,
2094.8,5.690000057,20.39999962,8.162840843,20.20000076,20.30000019,
2096.8,5.690000057,20.39999962,8.161353111,20.20000076,20.30000019,
2098.8,5.690000057,20.39999962,8.16001606,20.20000076,20.30000019,
2100.8,5.690000057,20.39999962,8.158849716,20.20000076,20.30000019,
2102.8,5.690000057,20.39999962,8.157084465,20.20000076,20.30000019,
2104.8,5.690000057,20.39999962,8.155733109,20.20000076,20.30000019,
2106.8,5.690000057,20.39999962,8.15392971,20.20000076,20.30000019,
2108.8,5.690000057,20.39999962,8.151655197,20.20000076,20.30000019,
2110.8,5.690000057,20.39999962,8.149214745,20.20000076,20.30000019,
2112.8,5.690000057,20.39999962,8.143876076,20.20000076,20.30000019,
2114.8,5.690000057,20.39999962,8.141616821,20.20000076,20.30000019,
2116.8,5.690000057,20.39999962,8.140060425,20.20000076,20.30000019,
2118.8,5.690000057,20.39999962,8.139140129,20.20000076,20.30000019,
2120.8,5.690000057,20.39999962,8.135540962,20.20999908,20.30499935,
2122.8,5.690000057,20.39999962,8.132530212,20.20999908,20.30499935,
2124.8,5.690000057,20.39999962,8.128798485,20.20999908,20.30499935,
2126.8,5.690000057,20.39999962,8.124854088,20.20999908,20.30499935,
2128.8,5.690000057,20.39999962,8.116392136,20.20999908,20.30499935,
2130.8,5.690000057,20.39999962,8.112943649,20.20999908,20.30499935,
2132.8,5.690000057,20.39999962,8.111204147,20.20999908,20.30499935,
2134.8,5.690000057,20.39999962,8.110966682,20.20999908,20.30499935,
2136.8,5.690000057,20.39999962,8.111459732,20.20999908,20.30499935,
2138.8,5.690000057,20.39999962,8.113158226,20.20999908,20.30499935,
2140.8,5.699999809,20.39999962,8.114470482,20.20999908,20.30499935,
2142.8,5.699999809,20.39999962,8.116516113,20.20999908,20.30499935,
2144.8,5.690000057,20.39999962,8.11948967,20.20999908,20.30499935,
2146.8,5.690000057,20.39999962,8.127455711,20.20999908,20.30499935,
2148.8,5.699999809,20.39999962,8.132000923,20.20999908,20.30499935,
2150.8,5.699999809,20.39999962,8.13686657,20.20999908,20.30499935,
2152.8,5.699999809,20.39999962,8.14141655,20.20999908,20.30499935,
2154.8,5.699999809,20.39999962,8.147812843,20.20999908,20.30499935,
2156.8,5.699999809,20.39999962,8.149184227,20.20999908,20.30499935,
2158.8,5.699999809,20.39999962,8.150372505,20.20999908,20.30499935,
2160.8,5.699999809,20.39999962,8.15116787,20.21999931,20.30999947,
2162.8,5.699999809,20.39999962,8.152228355,20.21999931,20.30999947,
2164.8,5.699999809,20.39999962,8.155035973,20.21999931,20.30999947,
2166.8,5.699999809,20.39999962,8.156849861,20.21999931,20.30999947,
2168.8,5.699999809,20.39999962,8.1584692,20.21999931,20.30999947,
2170.8,5.699999809,20.39999962,8.159685135,20.21999931,20.30999947,
2172.8,5.699999809,20.39999962,8.162611008,20.21999931,20.30999947,
2174.8,5.699999809,20.39999962,8.164982796,20.21999931,20.30999947,
2176.8,5.699999809,20.39999962,8.168231964,20.21999931,20.30999947,
2178.8,5.699999809,20.39999962,8.172406197,20.21999931,20.30999947,
2180.8,5.699999809,20.39999962,8.180757523,20.21999931,20.30999947,
2182.8,5.699999809,20.39999962,8.184931755,20.21999931,20.30999947,
2184.8,5.699999809,20.39999962,8.187955856,20.21999931,20.30999947,
2186.8,5.699999809,20.39999962,8.189207077,20.21999931,20.30999947,
2188.8,5.699999809,20.39999962,8.188546181,20.21999931,20.30999947,
2190.8,5.699999809,20.39999962,8.182944298,20.21999931,20.30999947,
2192.8,5.699999809,20.39999962,8.179707527,20.21999931,20.30999947,
2194.8,5.699999809,20.39999962,8.175992966,20.22999954,20.31499958,
2196.8,5.699999809,20.39999962,8.172599792,20.22999954,20.31499958,
2198.8,5.699999809,20.39999962,8.168128967,20.22999954,20.31499958,
2200.8,5.699999809,20.39999962,8.166045189,20.22999954,20.31499958,
2202.8,5.699999809,20.39999962,8.164011002,20.22999954,20.31499958,
2204.8,5.699999809,20.39999962,8.161987305,20.22999954,20.31499958,
2206.8,5.699999809,20.39999962,8.158722878,20.22999954,20.31499958,
2208.8,5.699999809,20.39999962,8.157419205,20.22999954,20.31499958,
2210.8,5.710000038,20.39999962,8.156270981,20.22999954,20.31499958,
2212.8,5.699999809,20.39999962,8.156106949,20.22999954,20.31499958,
2214.8,5.699999809,20.39999962,8.156267166,20.22999954,20.31499958,
2216.8,5.699999809,20.39999962,8.157156944,20.22999954,20.31499958,
2218.8,5.699999809,20.39999962,8.157170296,20.22999954,20.31499958,
2220.8,5.699999809,20.39999962,8.156676292,20.22999954,20.31499958,
2222.8,5.699999809,20.39999962,8.155571938,20.22999954,20.31499958,
2224.8,5.699999809,20.39999962,8.152914047,20.22999954,20.31499958,
2226.8,5.699999809,20.39999962,8.15170002,20.22999954,20.31499958,
2228.8,5.699999809,20.39999962,8.150647163,20.22999954,20.31499958,
2230.8,5.699999809,20.39999962,8.150286674,20.22999954,20.31499958,
2232.8,5.699999809,20.39999962,8.150953293,20.22999954,20.31499958,
2234.8,5.699999809,20.39999962,8.151684761,20.22999954,20.31499958,
2236.8,5.699999809,20.39999962,8.151926041,20.23999977,20.31999969,
2238.8,5.699999809,20.39999962,8.152028084,20.23999977,20.31999969,
2240.8,5.699999809,20.39999962,8.151874542,20.23999977,20.31999969,
